total,categoria
54.9,Member
63.6,Member
55.4,Member
66.4,Member
68.8,Member
63.6,Member
43,Member
64.3,Member
51.4,Member
56.6,Member
58.5,Member
69.3,Member
54.8,Member
55.9,Member
52.5,Member
49.9,Member
69.7,Member
53.7,Member
57.7,Member
66.7,Member
74.8,Not Member
68,Not Member
40,Not Member
66.3,Not Member
59.8,Not Member
63.7,Not Member
53.4,Not Member
27.4,Not Member
35.7,Not Member
29.7,Not Member
31.6,Not Member
31.1,Not Member
38.3,Not Member
36.1,Not Member
32.3,Not Member
27.7,Not Member
29.9,Not Member
25.8,Not Member
25.3,Not Member
38.6,Not Member
41.2,Not Member
39.2,Not Member
42.8,Not Member
36.9,Not Member
43.6,Not Member
35.6,Not Member
37,Not Member
36.6,Not Member
30.7,Not Member
39.3,Not Member
44.5,Not Member
