regiao;estado;data;valor
Norte;RO;2007-02-10;4,0
Norte;RO;2009-02-10;4,3
Norte;RO;2011-02-10;4,7
Norte;RO;2013-02-10;5,2
Norte;RO;2015-02-10;5,3
Norte;RO;2017-02-10;5,7
Norte;TO;2007-02-10;4,1
Norte;TO;2009-02-10;4,5
Norte;TO;2011-02-10;4,9
Norte;TO;2013-02-10;5,1
Norte;TO;2015-02-10;5,0
Norte;TO;2017-02-10;5,4
Norte;CE;2007-02-10;3,8
Norte;CE;2009-02-10;4,3
Norte;CE;2011-02-10;4,6
Norte;CE;2013-02-10;5,1
Norte;CE;2015-02-10;5,3
Norte;CE;2017-02-10;5,7
Norte;RR;2007-02-10;4,1
Norte;RR;2009-02-10;4,3
Norte;RR;2011-02-10;4,7
Norte;RR;2013-02-10;5,0
Norte;RR;2015-02-10;5,1
Norte;RR;2017-02-10;5,4
Norte;AM;2007-02-10;3,6
Norte;AM;2009-02-10;3,9
Norte;AM;2011-02-10;4,3
Norte;AM;2013-02-10;4,7
Norte;AM;2015-02-10;5,0
Norte;AM;2017-02-10;5,3
Norte;AP;2007-02-10;3,4
Norte;AP;2009-02-10;3,8
Norte;AP;2011-02-10;4,1
Norte;AP;2013-02-10;4,0
Norte;AP;2015-02-10;4,3
Norte;AP;2017-02-10;4,4
Norte;PA;2007-02-10;3,1
