name,code,index
Afghanistan,AFG,0.653
Albania,ALB,0.238
Algeria,DZA,0.442
Argentina,ARG,0.358
Armenia,ARM,0.262
Australia,AUS,0.109
Austria,AUT,0.71
Azerbaijan,AZE,0.318
Bahamas,BHS,0.340
Bahrain,BHR,0.222
Bangladesh,BGD,0.542
Barbados,BRB,0.284
Belarus,BLR,0.130
Belgium,BEL,0.48
Belize,BLZ,0.386
Benin,BEN,0.611
Bhutan,BTN,0.476
Bolivia,BOL,0.450
Bosnia and Herzegovina,BIH,0.166
Botswana,BWA,0.434
Brazil,BRA,0.407
Brunei Darussalam,BRN,0.236
Bulgaria,BGR,0.217
Burkina Faso,BFA,0.610
Burundi,BDI,0.471
Cambodia,KHM,0.473
Cameroon,CMR,0.569
Canada,CAN,0.92
Central African Republic,CAF,0.673
Chad,TCD,0.708
China,CHN,0.152
Colombia,COL,0.383
Congo,COG,0.578
Congo (Democratic Republic of the),COD,0.652
Costa Rica,CRI,0.300
Croatia,HRV,0.124
Cuba,CUB,0.301
Cyprus,CYP,0.85
Denmark,DNK,0.40
Dominican Republic,DOM,0.451
Ecuador,ECU,0.385
Egypt,EGY,0.449
El Salvador,SLV,0.392
Estonia,EST,0.122
Ethiopia,ETH,0.502
Fiji,FJI,0.352
Finland,FIN,0.58
France,FRA,0.83
Gabon,GAB,0.534
Gambia,GMB,0.623
Georgia,GEO,0.350
Germany,DEU,0.72
Ghana,GHA,0.538
Greece,GRC,0.120
Guatemala,GTM,0.493
Guyana,GUY,0.504
Haiti,HTI,0.601
Hungary,HUN,0.259
Iceland,ISL,0.62
India,IND,0.524
Indonesia,IDN,0.453
Iran (Islamic Republic of),IRN,0.461
Iraq,IRQ,0.506
Ireland,IRL,0.109
Israel,ISR,0.98
Italy,ITA,0.87
Jamaica,JAM,0.412
Japan,JPN,0.103
Jordan,JOR,0.460
Kazakhstan,KAZ,0.197
Kenya,KEN,0.549
Korea (Republic of),KOR,0.63
Kuwait,KWT,0.270
Kyrgyzstan,KGZ,0.392
Lao People's Democratic Republic,LAO,0.461
Latvia,LVA,0.196
Lebanon,LBN,0.381
Lesotho,LSO,0.544
Liberia,LBR,0.656
Libya,LBY,0.170
Lithuania,LTU,0.123
Luxembourg,LUX,0.66
Malawi,MWI,0.619
Malaysia,MYS,0.287
Maldives,MDV,0.343
Mali,MLI,0.678
Malta,MLT,0.216
Mauritania,MRT,0.617
Mauritius,MUS,0.373
Mexico,MEX,0.343
Moldova (Republic of),MDA,0.226
Mongolia,MNG,0.301
Montenegro,MNE,0.132
Morocco,MAR,0.482
Mozambique,MOZ,0.552
Namibia,NAM,0.472
Nepal,NPL,0.480
Netherlands,NLD,0.44
New Zealand,NZL,0.136
Nicaragua,NIC,0.456
Niger,NER,0.649
Norway,NOR,0.48
Oman,OMN,0.264
Pakistan,PAK,0.541
Panama,PAN,0.461
Papua New Guinea,PNG,0.741
Paraguay,PRY,0.467
Peru,PER,0.368
Philippines,PHL,0.427
Poland,POL,0.132
Portugal,PRT,0.88
Qatar,QAT,0.206
Romania,ROU,0.311
Russian Federation,RUS,0.257
Rwanda,RWA,0.381
Saint Lucia,LCA,0.333
Samoa,WSM,0.365
Sao Tome and Principe,STP,0.538
Saudi Arabia,SAU,0.234
Senegal,SEN,0.515
Serbia,SRB,0.181
Sierra Leone,SLE,0.645
Singapore,SGP,0.67
Slovakia,SVK,0.180
Slovenia,SVN,0.54
South Africa,ZAF,0.389
Spain,ESP,0.80
Sri Lanka,LKA,0.354
Sudan,SDN,0.564
Suriname,SUR,0.441
Sweden,SWE,0.44
Switzerland,CHE,0.39
Syrian Arab Republic,SYR,0.547
Tajikistan,TJK,0.317
Tanzania (United Republic of),TZA,0.537
Thailand,THA,0.393
The former Yugoslav Republic of Macedonia,MKD,0.149
Togo,TGO,0.567
Tonga,TON,0.416
Trinidad and Tobago,TTO,0.324
Tunisia,TUN,0.298
Turkey,TUR,0.317
Uganda,UGA,0.523
Ukraine,UKR,0.285
United Arab Emirates,ARE,0.232
United Kingdom,GBR,0.116
United States,USA,0.189
Uruguay,URY,0.270
Uzbekistan,UZB,0.274
Venezuela (Bolivarian Republic of),VEN,0.454
Viet Nam,VNM,0.304
Yemen,YEM,0.835
Zambia,ZMB,0.517
Zimbabwe,ZWE,0.534
